id,name,description,price,product_type,quantity
43,Hydrating Lip Balm,Natural soy wax candle,92.27,lipstick,2
44,Soothing Body Lotion,Natural soy wax candle,1.64,shampoo,7
45,Radiant Skin Cream,Natural soy wax candle,55.55,lipstick,12
46,Silky Smooth Shampoo,Leather wallet with RFID protection,63.07,lipstick,10
47,Revitalizing Hair Mask,Organic cotton socks,80.09,lipstick,7
48,Youthful Essence Eye Cream,Handcrafted wooden picture frame,32.94,perfume,6
49,Soothing Body Lotion,Stainless steel water bottle,23.51,moisturizer,10
50,Soothing Body Lotion,Vintage leather messenger bag,69.0,eyeliner,10
51,Brightening Facial Cleanser,Stainless steel water bottle,60.96,eyeliner,12
52,Luminous Glow Serum,Vintage leather messenger bag,9.2,shampoo,10
53,Revitalizing Hair Mask,Bluetooth wireless earbuds,26.64,perfume,4
54,Revitalizing Hair Mask,Organic cotton socks,90.74,perfume,11
55,Soothing Body Lotion,Organic cotton socks,43.27,lipstick,12
56,Soothing Body Lotion,Handcrafted wooden picture frame,73.18,perfume,8
57,Luminous Glow Serum,Vintage leather messenger bag,16.68,eyeliner,3
58,Brightening Facial Cleanser,Glass water pitcher with lid,60.28,moisturizer,2
59,Hydrating Lip Balm,Bluetooth wireless earbuds,58.17,lipstick,2
60,Luminous Glow Serum,Bluetooth wireless earbuds,23.26,shampoo,3
61,Soothing Body Lotion,Stainless steel water bottle,96.17,shampoo,8
62,Nourishing Scalp Treatment,Silk scarf with floral print,28.45,eyeliner,12
63,Soothing Body Lotion,Handcrafted wooden picture frame,65.06,perfume,2
64,Soothing Body Lotion,Stainless steel water bottle,87.96,shampoo,3
65,Radiant Skin Cream,Soft cotton t-shirt,56.9,moisturizer,8
66,Glowing Beauty Elixir,Silk scarf with floral print,18.57,eyeliner,5
67,Glowing Beauty Elixir,Vintage leather messenger bag,21.14,shampoo,1
68,Nourishing Scalp Treatment,Bluetooth wireless earbuds,1.44,lipstick,7
69,Brightening Facial Cleanser,Bluetooth wireless earbuds,14.44,eyeliner,10
70,Hydrating Lip Balm,Handcrafted wooden picture frame,9.32,eyeliner,9
71,Soothing Body Lotion,Silk scarf with floral print,38.78,shampoo,7
72,Nourishing Scalp Treatment,Handcrafted wooden picture frame,44.38,perfume,2
73,Revitalizing Hair Mask,Handcrafted wooden picture frame,60.74,eyeliner,3
74,Brightening Facial Cleanser,Stainless steel water bottle,59.52,shampoo,5
75,Luminous Glow Serum,Silk scarf with floral print,97.49,perfume,7
76,Nourishing Scalp Treatment,Leather wallet with RFID protection,99.36,moisturizer,12
77,Youthful Essence Eye Cream,Handcrafted wooden picture frame,17.71,shampoo,3
78,Nourishing Scalp Treatment,Vintage leather messenger bag,21.72,moisturizer,4
79,Luminous Glow Serum,Glass water pitcher with lid,1.9,moisturizer,5
80,Youthful Essence Eye Cream,Vintage leather messenger bag,42.74,eyeliner,6
81,Youthful Essence Eye Cream,Stainless steel water bottle,99.27,moisturizer,6
82,Youthful Essence Eye Cream,Natural soy wax candle,11.95,shampoo,3
83,Soothing Body Lotion,Handcrafted wooden picture frame,50.57,shampoo,11
84,Silky Smooth Shampoo,Bluetooth wireless earbuds,71.75,moisturizer,4
85,Hydrating Lip Balm,Organic cotton socks,84.69,perfume,11
86,Youthful Essence Eye Cream,Organic cotton socks,94.0,moisturizer,7
87,Nourishing Scalp Treatment,Organic cotton socks,95.54,perfume,6
88,Luminous Glow Serum,Handcrafted wooden picture frame,43.63,perfume,9
89,Brightening Facial Cleanser,Handcrafted wooden picture frame,77.78,moisturizer,7
90,Youthful Essence Eye Cream,Vintage leather messenger bag,90.42,perfume,1
91,Revitalizing Hair Mask,Natural soy wax candle,32.49,moisturizer,3
92,Silky Smooth Shampoo,Vintage leather messenger bag,51.95,perfume,10
93,Youthful Essence Eye Cream,Leather wallet with RFID protection,98.88,moisturizer,7
94,Soothing Body Lotion,Leather wallet with RFID protection,37.5,eyeliner,5
95,Luminous Glow Serum,Glass water pitcher with lid,23.45,eyeliner,4
96,Revitalizing Hair Mask,Leather wallet with RFID protection,63.15,moisturizer,6
97,Brightening Facial Cleanser,Silk scarf with floral print,35.32,moisturizer,2
98,Radiant Skin Cream,Natural soy wax candle,10.11,lipstick,5
99,Brightening Facial Cleanser,Handcrafted wooden picture frame,42.75,moisturizer,11
100,Radiant Skin Cream,Leather wallet with RFID protection,71.16,lipstick,3
101,Hydrating Lip Balm,Glass water pitcher with lid,6.49,shampoo,5
102,Revitalizing Hair Mask,Bluetooth wireless earbuds,77.91,eyeliner,11
103,Youthful Essence Eye Cream,Bluetooth wireless earbuds,50.57,lipstick,4
104,Brightening Facial Cleanser,Leather wallet with RFID protection,73.82,perfume,4
105,Soothing Body Lotion,Leather wallet with RFID protection,24.25,eyeliner,3
106,Radiant Skin Cream,Vintage leather messenger bag,62.29,lipstick,1
107,Glowing Beauty Elixir,Stainless steel water bottle,4.85,lipstick,6
108,Revitalizing Hair Mask,Organic cotton socks,95.66,moisturizer,4
109,Brightening Facial Cleanser,Leather wallet with RFID protection,46.74,moisturizer,9
110,Radiant Skin Cream,Leather wallet with RFID protection,10.57,lipstick,9
111,Luminous Glow Serum,Organic cotton socks,96.03,perfume,7
112,Glowing Beauty Elixir,Leather wallet with RFID protection,21.15,moisturizer,12
113,Soothing Body Lotion,Glass water pitcher with lid,62.96,lipstick,12
114,Radiant Skin Cream,Organic cotton socks,9.34,lipstick,9
115,Brightening Facial Cleanser,Organic cotton socks,84.37,shampoo,1
116,Glowing Beauty Elixir,Stainless steel water bottle,11.28,lipstick,11
117,Brightening Facial Cleanser,Handcrafted wooden picture frame,75.25,shampoo,1
118,Luminous Glow Serum,Stainless steel water bottle,85.91,shampoo,9
119,Soothing Body Lotion,Stainless steel water bottle,62.9,perfume,11
120,Revitalizing Hair Mask,Vintage leather messenger bag,3.57,perfume,9
121,Silky Smooth Shampoo,Stainless steel water bottle,81.59,eyeliner,4
122,Luminous Glow Serum,Leather wallet with RFID protection,34.54,lipstick,7
123,Nourishing Scalp Treatment,Soft cotton t-shirt,7.1,moisturizer,7
124,Hydrating Lip Balm,Natural soy wax candle,43.57,perfume,11
125,Luminous Glow Serum,Bluetooth wireless earbuds,49.2,shampoo,10
126,Glowing Beauty Elixir,Silk scarf with floral print,32.38,perfume,4
127,Soothing Body Lotion,Stainless steel water bottle,6.28,perfume,11
128,Hydrating Lip Balm,Organic cotton socks,72.85,perfume,1
129,Nourishing Scalp Treatment,Handcrafted wooden picture frame,97.66,perfume,1
130,Silky Smooth Shampoo,Soft cotton t-shirt,73.87,moisturizer,4
131,Luminous Glow Serum,Handcrafted wooden picture frame,69.86,shampoo,9
132,Nourishing Scalp Treatment,Soft cotton t-shirt,99.75,lipstick,6
133,Soothing Body Lotion,Silk scarf with floral print,22.34,perfume,10
134,Silky Smooth Shampoo,Glass water pitcher with lid,12.28,perfume,11
135,Nourishing Scalp Treatment,Bluetooth wireless earbuds,68.96,eyeliner,6
136,Hydrating Lip Balm,Bluetooth wireless earbuds,16.5,moisturizer,12
137,Revitalizing Hair Mask,Glass water pitcher with lid,95.62,perfume,1
138,Silky Smooth Shampoo,Bluetooth wireless earbuds,60.2,perfume,11
139,Radiant Skin Cream,Silk scarf with floral print,23.2,moisturizer,11
140,Soothing Body Lotion,Silk scarf with floral print,11.81,shampoo,11
141,Brightening Facial Cleanser,Vintage leather messenger bag,86.4,perfume,8
142,Nourishing Scalp Treatment,Vintage leather messenger bag,59.89,moisturizer,1
143,Luminous Glow Serum,Handcrafted wooden picture frame,72.42,perfume,10
144,Glowing Beauty Elixir,Leather wallet with RFID protection,14.15,eyeliner,8
145,Soothing Body Lotion,Silk scarf with floral print,7.28,lipstick,1
146,Nourishing Scalp Treatment,Stainless steel water bottle,34.12,perfume,1
147,Nourishing Scalp Treatment,Handcrafted wooden picture frame,66.92,moisturizer,3
148,Revitalizing Hair Mask,Glass water pitcher with lid,14.71,eyeliner,8
149,Glowing Beauty Elixir,Glass water pitcher with lid,10.05,shampoo,2
150,Glowing Beauty Elixir,Vintage leather messenger bag,72.58,lipstick,4
151,Brightening Facial Cleanser,Soft cotton t-shirt,32.13,shampoo,8
152,Brightening Facial Cleanser,Handcrafted wooden picture frame,98.2,lipstick,8
153,Luminous Glow Serum,Natural soy wax candle,6.91,shampoo,1
154,Glowing Beauty Elixir,Natural soy wax candle,70.09,moisturizer,4
155,Radiant Skin Cream,Glass water pitcher with lid,25.04,eyeliner,7
156,Revitalizing Hair Mask,Bluetooth wireless earbuds,48.75,perfume,3
157,Radiant Skin Cream,Silk scarf with floral print,77.03,perfume,4
158,Hydrating Lip Balm,Stainless steel water bottle,56.45,shampoo,6
159,Revitalizing Hair Mask,Silk scarf with floral print,93.36,eyeliner,6
160,Soothing Body Lotion,Soft cotton t-shirt,65.88,shampoo,1
161,Hydrating Lip Balm,Organic cotton socks,53.81,eyeliner,11
162,Radiant Skin Cream,Glass water pitcher with lid,13.38,moisturizer,6
163,Youthful Essence Eye Cream,Handcrafted wooden picture frame,71.14,moisturizer,1
164,Luminous Glow Serum,Leather wallet with RFID protection,53.77,lipstick,3
165,Radiant Skin Cream,Vintage leather messenger bag,13.04,moisturizer,4
166,Revitalizing Hair Mask,Handcrafted wooden picture frame,21.08,moisturizer,11
167,Silky Smooth Shampoo,Silk scarf with floral print,49.11,eyeliner,1
168,Hydrating Lip Balm,Glass water pitcher with lid,86.55,lipstick,10
169,Nourishing Scalp Treatment,Bluetooth wireless earbuds,38.8,shampoo,3
170,Luminous Glow Serum,Organic cotton socks,46.31,moisturizer,6
171,Soothing Body Lotion,Natural soy wax candle,65.23,perfume,3
172,Luminous Glow Serum,Bluetooth wireless earbuds,6.42,perfume,8
173,Hydrating Lip Balm,Stainless steel water bottle,34.21,moisturizer,8
174,Youthful Essence Eye Cream,Soft cotton t-shirt,35.18,lipstick,1
175,Revitalizing Hair Mask,Vintage leather messenger bag,62.55,lipstick,11
176,Revitalizing Hair Mask,Organic cotton socks,76.43,eyeliner,3
177,Soothing Body Lotion,Organic cotton socks,7.02,lipstick,6
178,Youthful Essence Eye Cream,Natural soy wax candle,15.38,lipstick,10
179,Revitalizing Hair Mask,Stainless steel water bottle,15.92,shampoo,10
180,Hydrating Lip Balm,Glass water pitcher with lid,3.07,lipstick,9
181,Youthful Essence Eye Cream,Leather wallet with RFID protection,71.59,moisturizer,10
182,Youthful Essence Eye Cream,Glass water pitcher with lid,52.54,eyeliner,3
183,Revitalizing Hair Mask,Organic cotton socks,66.69,perfume,8
184,Silky Smooth Shampoo,Natural soy wax candle,25.54,moisturizer,12
185,Silky Smooth Shampoo,Organic cotton socks,37.7,eyeliner,8
186,Silky Smooth Shampoo,Bluetooth wireless earbuds,10.97,shampoo,11
187,Luminous Glow Serum,Soft cotton t-shirt,46.39,lipstick,9
188,Youthful Essence Eye Cream,Natural soy wax candle,34.42,lipstick,3
189,Silky Smooth Shampoo,Handcrafted wooden picture frame,51.64,perfume,9
190,Youthful Essence Eye Cream,Organic cotton socks,10.41,perfume,8
191,Radiant Skin Cream,Soft cotton t-shirt,52.73,eyeliner,5
192,Hydrating Lip Balm,Silk scarf with floral print,86.52,perfume,1
193,Glowing Beauty Elixir,Organic cotton socks,7.98,shampoo,3
194,Nourishing Scalp Treatment,Soft cotton t-shirt,46.22,shampoo,2
195,Nourishing Scalp Treatment,Organic cotton socks,84.9,lipstick,5
196,Revitalizing Hair Mask,Handcrafted wooden picture frame,41.05,perfume,9
197,Silky Smooth Shampoo,Stainless steel water bottle,1.5,shampoo,3
198,Glowing Beauty Elixir,Silk scarf with floral print,7.06,perfume,4
199,Youthful Essence Eye Cream,Silk scarf with floral print,19.26,lipstick,12
200,Youthful Essence Eye Cream,Soft cotton t-shirt,72.59,eyeliner,10
201,Revitalizing Hair Mask,Natural soy wax candle,86.36,perfume,4
202,Radiant Skin Cream,Organic cotton socks,5.98,lipstick,2
203,Luminous Glow Serum,Glass water pitcher with lid,88.49,moisturizer,11
204,Radiant Skin Cream,Silk scarf with floral print,64.53,shampoo,6
205,Radiant Skin Cream,Bluetooth wireless earbuds,99.52,shampoo,7
206,Brightening Facial Cleanser,Leather wallet with RFID protection,26.3,lipstick,2
207,Glowing Beauty Elixir,Stainless steel water bottle,44.62,perfume,1
208,Silky Smooth Shampoo,Bluetooth wireless earbuds,35.47,moisturizer,12
209,Glowing Beauty Elixir,Organic cotton socks,1.76,eyeliner,2
210,Luminous Glow Serum,Soft cotton t-shirt,64.59,moisturizer,11
211,Nourishing Scalp Treatment,Bluetooth wireless earbuds,23.59,eyeliner,10
212,Radiant Skin Cream,Glass water pitcher with lid,67.66,lipstick,4
213,Radiant Skin Cream,Bluetooth wireless earbuds,25.71,shampoo,1
214,Glowing Beauty Elixir,Bluetooth wireless earbuds,20.46,perfume,4
215,Luminous Glow Serum,Handcrafted wooden picture frame,85.39,shampoo,9
216,Brightening Facial Cleanser,Leather wallet with RFID protection,33.25,lipstick,12
217,Nourishing Scalp Treatment,Bluetooth wireless earbuds,73.22,shampoo,7
218,Radiant Skin Cream,Natural soy wax candle,26.61,lipstick,7
219,Soothing Body Lotion,Leather wallet with RFID protection,8.37,shampoo,1
220,Revitalizing Hair Mask,Leather wallet with RFID protection,10.67,moisturizer,1
221,Nourishing Scalp Treatment,Leather wallet with RFID protection,33.03,moisturizer,5
222,Soothing Body Lotion,Handcrafted wooden picture frame,40.81,perfume,8
223,Youthful Essence Eye Cream,Handcrafted wooden picture frame,39.17,shampoo,2
224,Luminous Glow Serum,Organic cotton socks,18.82,lipstick,2
225,Brightening Facial Cleanser,Leather wallet with RFID protection,15.52,lipstick,9
226,Soothing Body Lotion,Natural soy wax candle,79.89,moisturizer,4
227,Radiant Skin Cream,Natural soy wax candle,84.16,eyeliner,6
228,Silky Smooth Shampoo,Glass water pitcher with lid,21.84,shampoo,11
229,Nourishing Scalp Treatment,Leather wallet with RFID protection,42.07,perfume,8
230,Brightening Facial Cleanser,Silk scarf with floral print,23.81,eyeliner,5
231,Youthful Essence Eye Cream,Leather wallet with RFID protection,96.58,moisturizer,12
232,Revitalizing Hair Mask,Natural soy wax candle,81.39,shampoo,2
233,Soothing Body Lotion,Stainless steel water bottle,65.17,eyeliner,1
234,Nourishing Scalp Treatment,Silk scarf with floral print,22.34,eyeliner,4
235,Silky Smooth Shampoo,Silk scarf with floral print,41.65,moisturizer,10
236,Youthful Essence Eye Cream,Handcrafted wooden picture frame,46.17,moisturizer,10
237,Nourishing Scalp Treatment,Bluetooth wireless earbuds,6.98,lipstick,5
238,Revitalizing Hair Mask,Soft cotton t-shirt,97.73,eyeliner,6
239,Youthful Essence Eye Cream,Handcrafted wooden picture frame,84.7,shampoo,2
240,Silky Smooth Shampoo,Organic cotton socks,31.38,moisturizer,2
241,Youthful Essence Eye Cream,Vintage leather messenger bag,46.21,moisturizer,4
242,Soothing Body Lotion,Glass water pitcher with lid,6.24,shampoo,9
243,Silky Smooth Shampoo,Organic cotton socks,0.18,eyeliner,10
244,Glowing Beauty Elixir,Natural soy wax candle,6.6,lipstick,9
245,Brightening Facial Cleanser,Organic cotton socks,36.76,moisturizer,4
246,Revitalizing Hair Mask,Organic cotton socks,87.18,lipstick,10
247,Luminous Glow Serum,Stainless steel water bottle,20.84,shampoo,9
248,Revitalizing Hair Mask,Bluetooth wireless earbuds,57.76,moisturizer,9
249,Revitalizing Hair Mask,Leather wallet with RFID protection,6.61,eyeliner,11
250,Soothing Body Lotion,Soft cotton t-shirt,94.9,perfume,3
251,Hydrating Lip Balm,Natural soy wax candle,53.7,lipstick,3
252,Brightening Facial Cleanser,Natural soy wax candle,57.59,lipstick,6
253,Revitalizing Hair Mask,Silk scarf with floral print,26.6,perfume,7
254,Luminous Glow Serum,Handcrafted wooden picture frame,12.33,lipstick,6
255,Radiant Skin Cream,Glass water pitcher with lid,44.33,moisturizer,8
256,Glowing Beauty Elixir,Natural soy wax candle,5.37,shampoo,7
257,Silky Smooth Shampoo,Silk scarf with floral print,13.57,shampoo,5
258,Silky Smooth Shampoo,Organic cotton socks,80.9,perfume,5
259,Revitalizing Hair Mask,Glass water pitcher with lid,91.75,perfume,11
260,Radiant Skin Cream,Handcrafted wooden picture frame,65.78,shampoo,4
261,Silky Smooth Shampoo,Vintage leather messenger bag,66.19,shampoo,10
262,Nourishing Scalp Treatment,Handcrafted wooden picture frame,68.93,perfume,11
263,Radiant Skin Cream,Natural soy wax candle,32.04,lipstick,5
264,Brightening Facial Cleanser,Soft cotton t-shirt,48.82,moisturizer,12
265,Nourishing Scalp Treatment,Silk scarf with floral print,79.28,lipstick,3
266,Radiant Skin Cream,Handcrafted wooden picture frame,55.78,shampoo,4
267,Glowing Beauty Elixir,Natural soy wax candle,99.83,perfume,9
268,Brightening Facial Cleanser,Natural soy wax candle,55.22,shampoo,4
269,Luminous Glow Serum,Soft cotton t-shirt,11.0,perfume,2
270,Luminous Glow Serum,Silk scarf with floral print,95.26,shampoo,7
271,Luminous Glow Serum,Silk scarf with floral print,76.91,moisturizer,3
272,Luminous Glow Serum,Soft cotton t-shirt,74.92,lipstick,1
273,Silky Smooth Shampoo,Handcrafted wooden picture frame,12.62,perfume,3
274,Radiant Skin Cream,Silk scarf with floral print,72.18,lipstick,7
275,Brightening Facial Cleanser,Handcrafted wooden picture frame,18.31,moisturizer,9
276,Nourishing Scalp Treatment,Leather wallet with RFID protection,71.7,moisturizer,4
277,Glowing Beauty Elixir,Glass water pitcher with lid,2.63,perfume,8
278,Hydrating Lip Balm,Vintage leather messenger bag,27.71,perfume,10
279,Nourishing Scalp Treatment,Stainless steel water bottle,11.67,perfume,5
280,Brightening Facial Cleanser,Natural soy wax candle,18.91,lipstick,3
281,Revitalizing Hair Mask,Soft cotton t-shirt,93.66,moisturizer,4
282,Revitalizing Hair Mask,Organic cotton socks,62.96,lipstick,2
283,Nourishing Scalp Treatment,Leather wallet with RFID protection,26.43,lipstick,2
284,Brightening Facial Cleanser,Soft cotton t-shirt,66.33,lipstick,6
285,Glowing Beauty Elixir,Vintage leather messenger bag,27.37,eyeliner,4
286,Revitalizing Hair Mask,Vintage leather messenger bag,67.18,eyeliner,4
287,Youthful Essence Eye Cream,Soft cotton t-shirt,7.68,eyeliner,7
288,Hydrating Lip Balm,Soft cotton t-shirt,64.72,shampoo,2
289,Revitalizing Hair Mask,Stainless steel water bottle,98.01,moisturizer,7
290,Brightening Facial Cleanser,Vintage leather messenger bag,38.53,moisturizer,7
291,Luminous Glow Serum,Soft cotton t-shirt,11.46,lipstick,10
292,Soothing Body Lotion,Glass water pitcher with lid,74.22,lipstick,12
293,Silky Smooth Shampoo,Handcrafted wooden picture frame,5.21,moisturizer,3
294,Hydrating Lip Balm,Silk scarf with floral print,87.71,perfume,6
295,Youthful Essence Eye Cream,Vintage leather messenger bag,96.94,shampoo,6
296,Radiant Skin Cream,Glass water pitcher with lid,82.77,moisturizer,10
297,Nourishing Scalp Treatment,Handcrafted wooden picture frame,31.26,perfume,12
298,Radiant Skin Cream,Organic cotton socks,35.82,shampoo,12
299,Nourishing Scalp Treatment,Handcrafted wooden picture frame,88.5,lipstick,6
300,Luminous Glow Serum,Leather wallet with RFID protection,48.88,perfume,12
301,Soothing Body Lotion,Bluetooth wireless earbuds,11.61,lipstick,8
302,Glowing Beauty Elixir,Soft cotton t-shirt,52.02,lipstick,7
303,Radiant Skin Cream,Stainless steel water bottle,13.77,eyeliner,11
304,Silky Smooth Shampoo,Glass water pitcher with lid,88.4,eyeliner,2
305,Silky Smooth Shampoo,Organic cotton socks,82.4,lipstick,2
306,Youthful Essence Eye Cream,Handcrafted wooden picture frame,28.38,moisturizer,6
307,Youthful Essence Eye Cream,Glass water pitcher with lid,50.82,perfume,11
308,Brightening Facial Cleanser,Natural soy wax candle,50.16,moisturizer,11
309,Radiant Skin Cream,Silk scarf with floral print,93.6,perfume,3
310,Luminous Glow Serum,Stainless steel water bottle,47.53,perfume,3
311,Soothing Body Lotion,Handcrafted wooden picture frame,35.97,moisturizer,9
312,Hydrating Lip Balm,Glass water pitcher with lid,13.23,lipstick,10
313,Luminous Glow Serum,Silk scarf with floral print,49.91,shampoo,1
314,Nourishing Scalp Treatment,Silk scarf with floral print,2.13,eyeliner,6
315,Nourishing Scalp Treatment,Bluetooth wireless earbuds,63.22,eyeliner,2
316,Youthful Essence Eye Cream,Organic cotton socks,18.57,moisturizer,12
317,Luminous Glow Serum,Bluetooth wireless earbuds,19.65,moisturizer,9
318,Soothing Body Lotion,Bluetooth wireless earbuds,50.34,moisturizer,9
319,Youthful Essence Eye Cream,Organic cotton socks,60.87,lipstick,11
320,Nourishing Scalp Treatment,Soft cotton t-shirt,35.06,lipstick,8
321,Soothing Body Lotion,Leather wallet with RFID protection,46.7,moisturizer,8
322,Hydrating Lip Balm,Organic cotton socks,71.27,eyeliner,8
323,Glowing Beauty Elixir,Natural soy wax candle,81.38,lipstick,1
324,Glowing Beauty Elixir,Organic cotton socks,26.72,eyeliner,1
325,Luminous Glow Serum,Stainless steel water bottle,26.33,shampoo,1
326,Luminous Glow Serum,Glass water pitcher with lid,29.17,perfume,6
327,Silky Smooth Shampoo,Organic cotton socks,38.09,lipstick,3
328,Soothing Body Lotion,Leather wallet with RFID protection,21.08,eyeliner,8
329,Silky Smooth Shampoo,Glass water pitcher with lid,13.22,lipstick,4
330,Soothing Body Lotion,Organic cotton socks,62.55,shampoo,9
331,Silky Smooth Shampoo,Organic cotton socks,80.53,perfume,9
332,Luminous Glow Serum,Stainless steel water bottle,80.54,moisturizer,12
333,Radiant Skin Cream,Leather wallet with RFID protection,95.03,shampoo,8
334,Revitalizing Hair Mask,Soft cotton t-shirt,20.15,shampoo,2
335,Hydrating Lip Balm,Organic cotton socks,2.64,shampoo,8
336,Youthful Essence Eye Cream,Stainless steel water bottle,29.35,moisturizer,3
337,Brightening Facial Cleanser,Stainless steel water bottle,89.74,lipstick,2
338,Nourishing Scalp Treatment,Vintage leather messenger bag,84.54,eyeliner,12
339,Soothing Body Lotion,Natural soy wax candle,35.49,shampoo,8
340,Radiant Skin Cream,Handcrafted wooden picture frame,19.06,perfume,6
341,Hydrating Lip Balm,Organic cotton socks,85.56,eyeliner,11
342,Brightening Facial Cleanser,Leather wallet with RFID protection,66.9,perfume,1
343,Soothing Body Lotion,Vintage leather messenger bag,26.53,moisturizer,10
344,Youthful Essence Eye Cream,Organic cotton socks,70.27,moisturizer,9
345,Glowing Beauty Elixir,Stainless steel water bottle,6.36,eyeliner,11
346,Revitalizing Hair Mask,Organic cotton socks,33.86,perfume,4
347,Revitalizing Hair Mask,Bluetooth wireless earbuds,7.82,eyeliner,11
348,Luminous Glow Serum,Glass water pitcher with lid,44.43,moisturizer,5
349,Radiant Skin Cream,Handcrafted wooden picture frame,55.8,eyeliner,8
350,Luminous Glow Serum,Soft cotton t-shirt,33.97,shampoo,2
351,Revitalizing Hair Mask,Natural soy wax candle,22.4,moisturizer,11
352,Hydrating Lip Balm,Natural soy wax candle,60.83,lipstick,3
353,Nourishing Scalp Treatment,Vintage leather messenger bag,64.14,shampoo,8
354,Soothing Body Lotion,Natural soy wax candle,15.86,shampoo,6
355,Radiant Skin Cream,Organic cotton socks,41.06,eyeliner,2
356,Brightening Facial Cleanser,Organic cotton socks,52.43,perfume,3
357,Glowing Beauty Elixir,Soft cotton t-shirt,18.09,shampoo,4
358,Revitalizing Hair Mask,Soft cotton t-shirt,99.51,perfume,8
359,Nourishing Scalp Treatment,Natural soy wax candle,25.55,perfume,9
360,Silky Smooth Shampoo,Bluetooth wireless earbuds,46.74,moisturizer,11
361,Soothing Body Lotion,Silk scarf with floral print,27.12,perfume,3
362,Silky Smooth Shampoo,Natural soy wax candle,49.94,eyeliner,9
363,Silky Smooth Shampoo,Stainless steel water bottle,88.84,eyeliner,8
364,Soothing Body Lotion,Leather wallet with RFID protection,83.94,perfume,8
365,Revitalizing Hair Mask,Silk scarf with floral print,32.82,shampoo,5
366,Youthful Essence Eye Cream,Glass water pitcher with lid,11.71,eyeliner,12
367,Glowing Beauty Elixir,Soft cotton t-shirt,9.42,lipstick,7
368,Hydrating Lip Balm,Vintage leather messenger bag,2.25,eyeliner,8
369,Silky Smooth Shampoo,Bluetooth wireless earbuds,5.83,moisturizer,7
370,Glowing Beauty Elixir,Handcrafted wooden picture frame,77.75,lipstick,6
371,Glowing Beauty Elixir,Vintage leather messenger bag,27.66,lipstick,5
372,Radiant Skin Cream,Silk scarf with floral print,91.81,lipstick,3
373,Revitalizing Hair Mask,Natural soy wax candle,10.28,lipstick,12
374,Hydrating Lip Balm,Soft cotton t-shirt,57.98,lipstick,10
